name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie
James Coburn,1928,1928-08-31,"Laurel, Ne",White,,Straight,1999,Best Supporting Actor,Affliction
Tony Richardson,1928,1928-06-05,"Shipley, Yorkshire, England",White,,Bisexual,1964,Best Director,Tom Jones
Grace Kelly,1929,1929-11-12,"Philadelphia, Pa",White,Roman Catholic,Straight,1955,Best Actress,The Country Girl
Audrey Hepburn,1929,1929-05-04,"Brussels, Belgium",White,Christian Science,Straight,1954,Best Actress,Roman Holiday
Miyoshi Umeki,1929,1929-04-03,"Otaro, Hokkaido, Japan",Asian,,Straight,1958,Best Supporting Actress,Sayonara
Christopher Plummer,1929,1929-12-13,"Toronto, Ontario, Canada",White,,Straight,2012,Best Supporting Actor,Beginning
Sean Connery,1930,1930-08-25,"Edinburgh, Scotland",White,Roman Catholic,Straight,1988,Best Supporting Actor,The Untouchables
Maximilian Schell,1930,1930-12-08,"Vienna, Austria",White,,Straight,1962,Best Actor,Judgement at Nuremberg
Joanne Woodward,1930,1930-02-27,"Thomasville, Ga",White,,Straight,1958,Best Actress,The Three Faces of Eve
Gene Hackman,1930,1930-01-30,"San Bernardino, Ca",White,,Straight,1972,Best Actor,The French Connection
Gene Hackman,1930,1930-01-30,"San Bernardino, Ca",White,,Straight,1993,Best Supporting Actor,Unforgiven
Clint Eastwood,1930,1930-05-31,"San Francisco, Ca",White,,Straight,2005,Best Director,Million Dollar Baby
Clint Eastwood,1930,1930-05-31,"San Francisco, Ca",White,,Straight,1993,Best Director,Unforgiven
Mike Nichols,1931,1931-11-06,"Berlin, Germany",White,Jewish,Straight,1968,Best Director,The Graduate
Olympia Dukakis,1931,1931-06-20,"Lowell, Ma",White,,Straight,1988,Best Supporting Actress,Moonstruck
Anne Bancroft,1931,1931-09-17,"Bronx, Ny",White,Roman Catholic,Straight,1963,Best Actress,The Miracle Worker
Robert Duvall,1931,1931-01-05,"San Diego, Ca",White,,Straight,1984,Best Actor,Tender Mercies
Rita Moreno,1931,1931-12-11,"Humacao, Puerto Rico",Hispanic,,Straight,1962,Best Supporting Actress,West Side Story
Martin Landau,1931,1931-06-20,"Brooklyn, Ny",White,Jewish,Straight,1995,Best Supporting Actor,Ed Wood
Ellen Burstyn,1932,1932-12-07,"Detroit, Mi",White,Sufism,Straight,1975,Best Actress,Alice Doesn't Live Here Anymore
Robert Benton,1932,1932-09-29,"Waxahachie, Tx",White,,Straight,1980,Best Director,Kramer vs. Kramer
Joel Grey,1932,1932-04-11,"Cleveland, Oh",White,Jewish,Gay,1973,Best Supporting Actor,Cabaret
Milos Forman,1932,1932-02-18,"CÌÁslav, Czechoslovakia",White,,Straight,1976,Best Director,One Flew over the Cuckoo's Nest
Milos Forman,1932,1932-02-18,"CÌÁslav, Czechoslovakia",White,,Straight,1985,Best Director,Amadeus
Elizabeth Taylor,1932,1932-02-27,"London, England",White,Jewish,Straight,1961,Best Actress,Butterfield 8
Elizabeth Taylor,1932,1932-02-27,"London, England",White,Jewish,Straight,1967,Best Actress,Who's Afraid of Virginia Woolf?
Roman Polanski,1933,1933-08-18,"Paris, France",White,See Note,Straight,2003,Best Director,The Pianist
Michael Caine,1933,1933-03-14,"Bermondsey, England",White,,Straight,2000,Best Supporting Actor,The Cider House Rules
Michael Caine,1933,1933-03-14,"Bermondsey, England",White,,Straight,1987,Best Supporting Actor,Hannah and Her Sisters
Sydney Pollack,1934,1934-07-01,"Lafayette, In",White,Jewish,Straight,1986,Best Director,Out of Africa
Sophia Loren,1934,1934-09-20,"Pozzuoli, Italy",White,Roman Catholic,Straight,1962,Best Actress,Two Women
Alan Arkin,1934,1934-03-26,"Brooklyn, Ny",White,Jewish,Straight,2007,Best Supporting Actor,Little Miss Sunshine
Shirley Jones,1934,1934-03-31,"Charleroi, Pa",White,Methodist,Straight,1961,Best Supporting Actress,Elmer Gantry
Louise Fletcher,1934,1934-07-22,"Birmingham, Al",White,,Straight,1976,Best Actress,One Flew Over the Cuckoo's Nest
Judi Dench,1934,1934-12-09,"York, North Yorkshire, England",White,Quaker,Straight,1999,Best Supporting Actress,Shakespeare in Love
George Chakiris,1934,1934-09-16,"Norwood, Oh",White,,Gay,1962,Best Supporting Actor,West Side Story
Shirley MacLaine,1934,1934-04-24,"Richmond, Va",White,Baptist,Straight,1984,Best Actress,Terms of Endearment
Maggie Smith,1934,1934-12-28,"Ilford, Essex, England",White,,Straight,1979,Best Supporting Actress,California Suite
Maggie Smith,1934,1934-12-28,"Ilford, Essex, England",White,,Straight,1970,Best Actress,The Prime of Miss Jean Brodie
William Friedkin,1935,1935-08-29,"Chicago, Il",White,Jewish,Straight,1972,Best Director,The French Connection
John G. Avildsen,1935,1935-12-21,"Oak Park, Il",White,,Straight,1976,Best Director,Rocky
Woody Allen,1935,1935-12-01,"Brooklyn, Ny",White,Jewish,Straight,1978,Best Director,Annie Hall
Julie Andrews,1935,1935-10-01,"Walton-on-Thames, Surrey, England",White,,Straight,1965,Best Actress,Mary Poppins
Robert Redford,1936,1936-08-18,"Santa Monica, Ca",White,,Straight,1980,Best Director,Ordinary People
"Lou Gossett, Jr.",1936,1936-05-27,"Brooklyn, Ny",Black,,Straight,1983,Best Supporting Actor,An Officer and a Gentleman
Glenda Jackson,1936,1936-05-09,"Birkenhead, Cheshire, England",White,,Straight,1971,Best Actress,Women in Love
Glenda Jackson,1936,1936-05-09,"Birkenhead, Cheshire, England",White,,Straight,1974,Best Actress,A Touch of Class
Anthony Hopkins,1937,1937-12-31,"Port Talbot, Wales",White,,Straight,1992,Best Actor,Silence of the Lambs
Vanessa Redgrave,1937,1937-01-30,"London, England",White,,Straight,1978,Best Supporting Actress,Julia
Morgan Freeman,1937,1937-06-01,"Memphis, Tn",Black,,Straight,2005,Best Supporting Actor,Million Dollar Baby
Sandy Dennis,1937,1937-04-27,"Hastings, Ne",White,,Bisexual,1967,Best Supporting Actress,Who's Afraid of Virginia Woolf?
Warren Beatty,1937,1937-03-30,"Richmond, Va",White,Baptist,Straight,1981,Best Director,Reds
Jane Fonda,1937,1937-12-21,New York City,White,Born-Again Christian,Straight,1979,Best Actress,Coming Home
Jane Fonda,1937,1937-12-21,New York City,White,Born-Again Christian,Straight,1972,Best Actress,Klute
Dustin Hoffman,1937,1937-08-08,"Los Angeles, Ca",White,Jewish,Straight,1989,Best Actor,Rainman
Dustin Hoffman,1937,1937-08-08,"Los Angeles, Ca",White,Jewish,Straight,1980,Best Actor,Kramer vs. Kramer
Jack Nicholson,1937,1937-04-22,New York City,White,Atheist,Straight,1997,Best Actor,As Good as It Gets
Jack Nicholson,1937,1937-04-22,New York City,White,Atheist,Straight,1976,Best Actor,One Flew Over the Cuckoo's Nest
Jack Nicholson,1937,1937-04-22,New York City,White,Atheist,Straight,1984,Best Supporting Actor,Terms of Endearment
Jon Voight,1938,1938-12-29,"Yonkers, Ny",White,Roman Catholic,Straight,1979,Best Actor,Coming Home
Francis Ford Coppola,1939,1939-04-07,"Detroit, Mi",White,,Straight,1975,Best Director,The Godfather Part II
Michael Cimino,1939,1939-02-03,New York City,White,,Straight,1979,Best Director,The Deer Hunter
F. Murray Abraham,1939,1939-10-24,"Pittsburgh, Pa",Middle Eastern,,Straight,1985,Best Actor,Amadeus
Al Pacino,1940,1940-04-25,"East Harlem, New York City",White,Roman Catholic,Straight,1993,Best Actor,Scent of a Woman
James L. Brooks,1940,1940-05-09,"North Bergen, Nj",White,,Straight,1983,Best Director,Terms of Endearment
Haing S. Ngor,1940,1940-03-22,"Samrong Young, Cambodia",Asian,Buddhist,Straight,1985,Best Supporting Actor,The Killing Fields
Bernardo Bertolucci,1941,1941-03-16,"Parma, Emilia-Romagna, Italy",White,,Straight,1988,Best Director,The Last Emperor
Julie Christie,1941,1941-04-14,"Chabua, Assam, India",White,,Straight,1966,Best Actress,Darling
Faye Dunaway,1941,1941-01-14,"Bascom, Fl",White,Roman Catholic,Straight,1977,Best Actress,Network
Barbra Streisand,1942,1942-04-24,"Brooklyn, Ny",White,Jewish,Straight,1969,Best Actress,Funny Girl
Martin Scorsese,1942,1942-11-17,"Flushing, Ny",White,Roman Catholic,Straight,2007,Best Director,The Departed
Barry Levinson,1942,1942-04-06,"Baltimore, Md",White,Jewish,Straight,1989,Best Director,Rain Man
Ben Kingsley,1943,1943-12-31,"Scarborough, Yorkshire, England",Multiracial,Quaker,Straight,1983,Best Actor,Gandhi
Joe Pesci,1943,1943-02-09,"Newark, Nj",White,,Straight,1991,Best Supporting Actor,Good Fellas
Christopher Walken,1943,1943-03-31,"Astoria, Ny",White,,Straight,1979,Best Supporting Actor,The Deer Hunter
Robert De Niro,1943,1943-08-17,New York City,White,Roman Catholic,Straight,1975,Best Supporting Actor,The Godfather Part II
Robert De Niro,1943,1943-08-17,New York City,White,Roman Catholic,Straight,1981,Best Actor,Raging Bull
Jonathan Demme,1944,1944-02-22,"Baldwin, Ny",White,,Straight,1992,Best Director,The Silence of the Lambs
Michael Douglas,1944,1944-09-25,"New Brunswick, Nj",White,Jewish,Straight,1988,Best Actor,Wall Street
Helen Mirren,1945,1945-07-26,"Chiswick, London, England",White,,Straight,2007,Best Actress,The Queen
Brenda Fricker,1945,1945-02-17,"Dublin, Ireland",White,,Straight,1990,Best Supporting Actress,My Left Foot
Goldie Hawn,1945,1945-11-21,"Silver Spring, Md",White,Buddhist,Straight,1970,Best Supporting Actress,Cactus Flower
Linda Hunt,1945,1945-04-02,"Morristown, Nj",White,,Na,1984,Best Supporting Actress,The Year of Living Dangerously
Tommy Lee Jones,1946,1946-09-15,"San Saba, Tx",White,,Straight,1994,Best Supporting Actor,The Fugitive
Susan Sarandon,1946,1946-10-04,"Queens, Ny",White,Roman Catholic,Straight,1996,Best Actress,Dead Man Walking
Patty Duke,1946,1946-12-14,"Elmhurst, Ny",White,Roman Catholic,Straight,1963,Best Supporting Actress,The Miracle Worker
Oliver Stone,1946,1946-09-15,New York City,White,Atheist,Straight,1990,Best Director,Born on the Fourth of July
Diane Keaton,1946,1946-01-05,"Los Angeles, Ca",White,Atheist,Straight,1978,Best Actress,Annie Hall
Cher,1946,1946-05-20,"El Centro, Ca",White,,Bisexual,1988,Best Actress,Moonstruck
Liza Minnelli,1946,1946-03-12,"Los Angeles, Ca",White,,Na,1973,Best Actress,Cabaret
Sally Field,1946,1946-11-06,"Pasadena, Ca",White,,Straight,1980,Best Actress,Norma Rae
Sally Field,1946,1946-11-06,"Pasadena, Ca",White,,Straight,1985,Best Actress,Places in the Heart
Steven Spielberg,1946,1946-12-18,"Cincinnati, Oh",White,Jewish,Straight,1999,Best Director,Saving Private Ryan
Steven Spielberg,1946,1946-12-18,"Cincinnati, Oh",White,Jewish,Straight,1994,Best Director,Schindler's List
Kevin Kline,1947,1947-10-24,"St. Louis, Mo",White,Roman Catholic,Straight,1989,Best Supporting Actor,A Fish Called Wanda
Richard Dreyfuss,1947,1947-10-29,"Brooklyn, Ny",White,Jewish,Straight,1978,Best Actor,The Goodbye Girl
Mercedes Ruehl,1948,1948-02-28,"Queens, Ny",Hispanic,Roman Catholic,Straight,1992,Best Supporting Actress,The Fisher King
Kathy Bates,1948,1948-06-28,"Memphis, Tn",White,,Straight,1991,Best Actress,Misery
Jeremy Irons,1948,1948-09-19,"Cowes, Isle of Wight, England",White,,Straight,1991,Best Actor,Reversal of Fortune
Dianne Wiest,1948,1948-03-28,"Kansas City, Mo",White,,Straight,1987,Best Supporting Actress,Hannah and Her Sisters
Dianne Wiest,1948,1948-03-28,"Kansas City, Mo",White,,Straight,1995,Best Supporting Actress,Bullets Over Broadway
Jeff Bridges,1949,1949-12-04,"Los Angeles, Ca",White,Lutheran,Straight,2010,Best Actor,Crazy Heart
Jim Broadbent,1949,1949-05-24,"Lincoln, Lincolnshire, England",White,,Straight,2002,Best Supporting Actor,Iris
Sissy Spacek,1949,1949-12-25,"Quitman, Tx",White,,Straight,1981,Best Actress,Coal Miner's Daughter
Meryl Streep,1949,1949-06-22,"Summit, Nj",White,,Straight,1983,Best Actress,Sophie's Choice
Meryl Streep,1949,1949-06-22,"Summit, Nj",White,,Straight,1980,Best Supporting Actress,Kramer vs. Kramer
Meryl Streep,1949,1949-06-22,"Summit, Nj",White,,Straight,2012,Best Actress,The Iron Lady
Jessica Lange,1949,1949-04-20,"Cloquet, Mn",White,,Straight,1983,Best Supporting Actress,Tootsie
Jessica Lange,1949,1949-04-20,"Cloquet, Mn",White,,Straight,1995,Best Actress,Blue Sky
William Hurt,1950,1950-03-20,"Washington, Dc",White,Lutheran,Straight,1986,Best Actor,Kiss of the Spider Woman
Robin Williams,1951,1951-07-21,"Chicago, Il",White,Anglican/episcopalian,Straight,1998,Best Supporting Actor,Good Will Hunting
Geoffrey Rush,1951,1951-07-06,"Toowoomba, Queensland, Australia",White,,Straight,1997,Best Actor,Shine
Anjelica Huston,1951,1951-07-08,"Santa Monica, Ca",White,,Straight,1986,Best Supporting Actress,Prizzi's Honor
Chris Cooper,1951,1951-07-09,"Kansas City, Mo",White,,Straight,2003,Best Supporting Actor,Adaptation
Kathryn Bigelow,1951,1951-11-27,"San Carlos, Ca",White,,Straight,2009,Best Director,The Hurt Locker
Robert Zemeckis,1952,1952-05-14,"Chicago, Il",White,Roman Catholic,Straight,1995,Best Director,Forrest Gump
Roberto Benigni,1952,1952-10-27,"Misericordia, Arezzo, Tuscany, Italy",White,,Straight,1999,Best Actor,Life is Beautiful
Mary Steenburgen,1953,1953-02-08,"Newport, Ar",White,,Straight,1981,Best Supporting Actress,Melvin and Howard
Kim Basinger,1953,1953-12-08,"Athens, Ga",White,,Straight,1998,Best Supporting Actress,L.A. Confidential
Ron Howard,1954,1954-03-01,"Duncan, Ok",White,,Straight,2002,Best Director,A Beautiful Mind
Anthony Minghella,1954,1954-01-06,"Ryde, Isle of Wight, England",White,,Straight,1997,Best Director,The English Patient
Joel Coen,1954,1954-11-29,"St. Louis Park, Mn",White,Jewish,Straight,2008,Best Director,No Country for Old Men
James Cameron,1954,1954-08-16,"Kapuskasing, Ontario, Canada",White,Atheist,Straight,1998,Best Director,Titanic
Ang Lee,1954,1954-10-23,"Pingtung, Taiwan",Asian,,Straight,2013,Best Director,Life of Pi
Ang Lee,1954,1954-10-23,"Pingtung, Taiwan",Asian,,Straight,2006,Best Director,Brokeback Mountain
Denzel Washington,1954,1954-12-28,"Mount Vernon, Ny",Black,Protestant,Straight,2002,Best Actor,Training Day
Denzel Washington,1954,1954-12-28,"Mount Vernon, Ny",Black,Protestant,Straight,1990,Best Supporting Actor,Glory
Whoopi Goldberg,1955,1955-11-13,New York City,Black,Atheist,Straight,1991,Best Supporting Actress,Ghost
Kevin Costner,1955,1955-01-18,"Lynwood, Ca",White,Baptist,Straight,1991,Best Director,Dances with Wolves
Geena Davis,1956,1956-01-21,"Wareham, Ma",White,Congregationalist,Straight,1989,Best Supporting Actress,The Accidental Tourist
Mel Gibson,1956,1956-01-03,"Peekskill, Ny",White,Roman Catholic,Straight,1996,Best Director,Braveheart
Danny Boyle,1956,1956-10-20,"Manchester, England",White,Roman Catholic,Straight,2009,Best Director,Slumdog Millionaire
Tom Hanks,1956,1956-07-09,"Concord, Ca",White,Born-Again Christian,Straight,1994,Best Actor,Philadelphia
Tom Hanks,1956,1956-07-09,"Concord, Ca",White,Born-Again Christian,Straight,1995,Best Actor,Forrest Gump
Christoph Waltz,1956,1956-10-04,Na,White,,Straight,2010,Best Supporting Actor,Inglourious Basterds
Christoph Waltz,1956,1956-10-04,Na,White,,Straight,2013,Best Supporting Actor,Django Unchained
Frances McDormand,1957,1957-06-23,"Chicago, Il",White,Disciples of Christ,Straight,1997,Best Actress,Fargo
Ethan Coen,1957,1957-09-21,"St. Louis Park, Mn",White,Jewish,Straight,2008,Best Director,No Country for Old Men
Daniel Day-Lewis,1957,1957-04-29,"London, England",White,,Straight,2013,Best Actor,Lincoln
Daniel Day-Lewis,1957,1957-04-29,"London, England",White,,Straight,2008,Best Actor,There Will Be Blood
Daniel Day-Lewis,1957,1957-04-29,"London, England",White,,Straight,1990,Best Actor,My Left Foot
Holly Hunter,1958,1958-03-20,"Conyers, Ga",White,,Straight,1994,Best Actress,The Piano
Tim Robbins,1958,1958-10-16,"West Covina, Ca",White,Roman Catholic,Straight,2004,Best Supporting Actor,Mystic River
Emma Thompson,1959,1959-04-15,"London, England",White,,Straight,1993,Best Actress,Howards End
Marcia Gay Harden,1959,1959-08-14,"La Jolla, Ca",White,,Straight,2001,Best Supporting Actress,Pollock
Kevin Spacey,1959,1959-07-26,"South Orange, Nj",White,,Matter of Dispute,2000,Best Actor,American Beauty
Kevin Spacey,1959,1959-07-26,"South Orange, Nj",White,,Matter of Dispute,1996,Best Supporting Actor,The Usual Suspects
Colin Firth,1960,1960-09-10,"Grayshott, Hampshire, England",White,,Straight,2011,Best Actor,The King's Speech
Timothy Hutton,1960,1960-08-16,"Malibu, Ca",White,,Straight,1981,Best Supporting Actor,Oridnary People
Melissa Leo,1960,1960-09-14,New York City,White,,Straight,2011,Best Supporting Actress,The Fighter
Tilda Swinton,1960,1960-11-05,"London, England",White,,Straight,2007,Best Supporting Actress,Michael Clayton
Sean Penn,1960,1960-08-17,"Burbank, Ca",White,Roman Catholic,Straight,2003,Best Actor,Mystic River
Sean Penn,1960,1960-08-17,"Burbank, Ca",White,Roman Catholic,Straight,2009,Best Actor,Milk
Peter Jackson,1961,1961-10-31,"Wellington, New Zealand",White,,Straight,2004,Best Director,The Lord of the Rings: Return of the King
Forest Whitaker,1961,1961-07-15,"Longview, Tx",Black,,Straight,2007,Best Actor,The Last King of Scotland
George Clooney,1961,1961-05-06,"Lexington, Ky",White,,Straight,2006,Best Supporting Actor,Syriana
Jodie Foster,1962,1962-11-19,"Los Angeles, Ca",White,Atheist,Lesbian,1989,Best Actress,The Accused
Jodie Foster,1962,1962-11-19,"Los Angeles, Ca",White,Atheist,Lesbian,1992,Best Actress,The Silence of the Lambs
Helen Hunt,1963,1963-06-15,"Culver City, Ca",White,,Straight,1998,Best Actress,As Good As It Gets
Steven Soderbergh,1963,1963-01-14,"Atlanta, Ga",White,Atheist,Straight,2001,Best Director,Traffic
Tatum O'Neal,1963,1963-11-05,"Los Angeles, Ca",White,,Straight,1974,Best Supporting Actress,Paper Moon
Juliette Binoche,1964,1964-03-09,"Paris, France",White,,Straight,1997,Best Supporting Actress,The English Patient
Sandra Bullock,1964,1964-07-26,"Arlington, Va",White,,Straight,2010,Best Actress,The Blind Side
Marisa Tomei,1964,1964-12-04,"Brooklyn, Ny",White,,Straight,1993,Best Supporting Actress,My Cousin Vinny
Russell Crowe,1964,1964-04-07,"Wellington, New Zealand",White,,Straight,2001,Best Actor,Gladiator
Nicolas Cage,1964,1964-01-07,"Long Beach, Ca",White,Roman Catholic,Straight,1996,Best Actor,Leaving Las Vegas
Marlee Matlin,1965,1965-08-24,"Morton Grove, Il",White,Jewish,Straight,1987,Best Actress,Children of a Lesser God
Sam Mendes,1965,1965-08-01,"Reading, Berkshire, England",White,,Straight,2000,Best Director,American Beauty
Halle Berry,1966,1966-08-14,"Cleveland, Oh",Multiracial,,Straight,2002,Best Actress,Monster's Ball
Jamie Foxx,1967,1967-12-13,"Terrell, Tx",Black,Baptist,Straight,2005,Best Actor,Ray
Nicole Kidman,1967,1967-06-20,"Honolulu, Hi",White,Roman Catholic,Straight,2003,Best Actress,The Hours
Mira Sorvino,1967,1967-09-28,"Tenafly, Nj",White,Atheist,Straight,1996,Best Supporting Actress,Mighty Aphrodite
Philip Seymour Hoffman,1967,1967-07-23,"Fairport, Ny",White,,Straight,2006,Best Actor,Capote
Mo'Nique,1967,1967-12-11,"Woodlawn, Md",Black,,Straight,2010,Best Supporting Actress,Precious
Benicio Del Toro,1967,1967-02-19,"Santurce, Puerto Rico",Hispanic,,Straight,2001,Best Supporting Actor,Traffic
Julia Roberts,1967,1967-10-28,"Smyrna, Ga",White,Hindu,Straight,2001,Best Actress,Erin Brockovich
Michel Hazanavicius,1967,1967-03-29,"Paris, France",White,Jewish,Straight,2012,Best Director,The Artist
"Cuba Gooding, Jr.",1968,1968-01-02,"Bronx, Ny",Black,,Straight,1997,Best Supporting Actor,Jerry Maguire
Catherine Zeta-Jones,1969,1969-09-25,"Mumbles, Wales",White,Roman Catholic,Straight,2003,Best Supporting Actress,Chicago
Javier Bardem,1969,1969-03-01,"Las Palmas De Gran Canaria, Canary Islands",Hispanic,,Straight,2008,Best Supporting Actor,No Country for Old Men
Matthew McConaughey,1969,1969-11-04,"Uvalde, Tx",White,,Straight,2014,Best Actor,Dallas Buyers Club
RenÌ©e Zellweger,1969,1969-04-25,"Katy, Tx",White,,Straight,2004,Best Supporting Actress,Cold Mountain
Cate Blanchett,1969,1969-05-14,"Melbourne, Victoria, Australia",White,,Straight,2014,Best Actress,Blue Jasmine
Cate Blanchett,1969,1969-05-14,"Melbourne, Victoria, Australia",White,,Straight,2005,Best Supporting Actress,The Aviator
Jennifer Connelly,1970,1970-12-12,"Catskill Mountains, Ny",White,Jewish,Straight,2002,Best Supporting Actress,A Beautiful Mind
Rachel Weisz,1971,1971-03-07,"London, England",White,Jewish,Straight,2006,Best Supporting Actress,The Constant Gardener
Jared Leto,1971,1971-12-26,"Bossier City, La",White,,Straight,2014,Best Supporting Actor,Dallas Buyers Club
Tom Hooper,1972,,"London, England",White,,Na,2011,Best Director,The King's Speech
Octavia Spencer,1972,1972-05-25,"Montgomery, Al",Black,,Na,2012,Best Supporting Actress,The Help
Gwyneth Paltrow,1972,1972-09-27,"Los Angeles, Ca",White,Jewish,Straight,1999,Best Actress,Shakespeare in Love
Jean Dujardin,1972,1972-06-19,"Rueil-Malmaison, Hauts-De-Seine, France",White,,Straight,2012,Best Actor,The Artist
Adrien Brody,1973,1973-04-14,New York City,White,Jewish,Straight,2003,Best Actor,The Pianist
Penelope Cruz,1974,1974-04-28,"Madrid, Spain",Hispanic,Buddhist,Straight,2009,Best Supporting Actress,Vicky Cristina Barcelona
Christian Bale,1974,1974-01-30,"Haverfordwest, Pembrokeshire, Wales",White,,Straight,2011,Best Supporting Actor,The Fighter
Hilary Swank,1974,1974-07-30,"Lincoln, Ne",White,,Straight,2005,Best Actress,Million Dollar Baby
Hilary Swank,1974,1974-07-30,"Lincoln, Ne",White,,Straight,2000,Best Actress,Boys Don't Cry
Angelina Jolie,1975,1975-06-04,"Los Angeles, Ca",White,Buddhist,Bisexual,2000,Best Supporting Actress,"Girl, Interrupted"
Marion Cotillard,1975,1975-09-30,"Paris, France",White,,Straight,2008,Best Actress,The Passionate Life of Edith Piaf
Charlize Theron,1975,1975-08-07,"Benoni, South Africa",White,,Straight,2004,Best Actress,Monster
Kate Winslet,1975,1975-10-05,"Reading, England",White,,Straight,2009,Best Actress,The Reader
Reese Witherspoon,1976,1976-03-22,"New Orleans, La",White,,Straight,2006,Best Actress,Walk the Line
Heath Ledger,1979,1979-04-04,"Perth, Australia",White,,Straight,2009,Best Supporting Actor,The Dark Knight
Jennifer Hudson,1981,1981-09-12,"Chicago, Il",Black,Baptist,Straight,2007,Best Supporting Actress,Dreamgirls
Natalie Portman,1981,1981-06-09,"Jerusalem, Israel",White,Jewish,Straight,2011,Best Actress,Black Swan
Anne Hathaway,1982,1982-11-12,"Brooklyn, Ny",White,Christian,Straight,2013,Best Supporting Actress,Les MisÌ©rables
Anna Paquin,1982,1982-07-24,"Winnipeg, Manitoba, Canada",White,,Bisexual,1994,Best Supporting Actress,The Piano
Lupita Nyong'o,1983,1983-03-01,"Mexico City, Mexico",Black,,Na,2014,Best Supporting Actress,12 Years a Slave
Jennifer Lawrence,1990,1990-08-15,"Louisville, Ky",White,,Na,2013,Best Actress,Silver Linings Playbook
